Customer ID,Age,Gender,Education,Marital Status,Employment Type,Annual Income,Work Experience,Loan ID,Loan Amount,Loan Type,Interest Rate,Loan Term,Loan Status,Default Status,Credit Score
"CUST000020","23","Male","Master's Degree","Single","Self-Employed","64599","4","LOAN947405","20159","Vehicle","9.42","7","Rejected","No","794"
"CUST000021","23","Male","Diploma","Divorced","Part-Time","152304","3","LOAN487840","304389","Home","6.51","25","Rejected","No","399"
"CUST000022",,"Male","High School","Single",,"199131","4","LOAN039469","19343","Personal","17.93","2","Approved","No","681"
"CUST000023","55","Other","High School","Single","Part-Time","245273","36","LOAN856898","38497","Personal","16.69","3","Approved","No","530"
"CUST000024","67","Other","PhD","Single","Contract","232714",,"LOAN946460","21559","Education","8.58","20","Approved","No","639"
"CUST000025","34",,"Diploma","Divorced","Unemployed","20755","14","LOAN814879","22797","Vehicle","5.09","4","Rejected","No","413"
"CUST000026",,"Male","Bachelor's Degree","Single","Unemployed","27451","12","LOAN861712","51070","Education","7.15","20","Rejected","No","800"
"CUST000027",,"Male","Associate Degree","Widowed","Full-Time","134320","25","LOAN311955","54436","Education","8.85","10","Approved","No","305"
"CUST000028",,"Other","Associate Degree","Single","Self-Employed","135714","18","LOAN786659","38102","Personal","13.75","1","Rejected","No","655"
"CUST000029","50","Other","PhD","Married","Unemployed","108370","7","LOAN201446","36392","Education","8.32","20","Approved","No","451"
"CUST000030","64","Female","Bachelor's Degree","Widowed","Unemployed","119288","19","LOAN571076","39708","Vehicle","6.06","7","Rejected","No","393"
"CUST000031","30","Male","PhD","Married","Full-Time","165998","31","LOAN920386","39056","Education","7.56","10","Rejected","No","535"
"CUST000032","30","Other","Master's Degree","Married","Part-Time","20103","4","LOAN518833","48967","Personal","15.07","5","Rejected","No","416"
"CUST000033","33",,"Master's Degree","Single","Unemployed",,,"LOAN025982","70504","Vehicle","7.35","3","Rejected","No",
"CUST000034","59","Other","High School","Single","Self-Employed","90266","7","LOAN134241","53676","Education","6.33","20","Approved","No","751"
"CUST000035","60","Female","High School","Married","Part-Time","193238","38","LOAN989227","76426","Vehicle","7.27","3","Approved","No","387"
"CUST000036","64",,"Bachelor's Degree","Widowed","Full-Time","197925","27","LOAN122634","31898","Education","5.82","5","Rejected","No","365"
"CUST000037","64","Female","Master's Degree","Divorced","Unemployed","198268","29","LOAN828332","161804","Home","5.67","30","Rejected","No","761"
"CUST000038","54","Male","Bachelor's Degree","Married","Contract","49449","24","LOAN326658","575743","Home","3.74","25","Rejected","No",
"CUST000039","53","Other","Bachelor's Degree","Married","Unemployed","184229","0","LOAN579431","22264","Personal","16.58","1","Rejected","No","377"
"CUST000040","57","Other","PhD","Married","Full-Time",,"35","LOAN995272","52494","Vehicle","9.74","5","Approved","Yes","375"
"CUST000041","33","Male","Associate Degree","Married","Unemployed","39452","22","LOAN625961","75617","Vehicle","9.40","6","Rejected","No","415"
"CUST000042","26","Other","Master's Degree","Divorced","Unemployed","37665","10","LOAN542382","13851","Personal","12.14","2","Rejected","No","443"
"CUST000043","23","Female","Associate Degree","Divorced","Part-Time","214526","7","LOAN124519","29425","Vehicle","7.34","4","Rejected","No","689"
"CUST000044","46","Female","Master's Degree","Divorced","Part-Time","159912","22","LOAN847937","21762","Personal","15.86","5","Rejected","No","391"
"CUST000045",,"Female","PhD","Widowed","Contract",,"31","LOAN217867","399842","Home","6.75","25","Approved","No","762"
"CUST000046","70","Female","PhD","Widowed","Contract","113989","25","LOAN179749","70369","Vehicle","6.07","5","Rejected","No","464"
"CUST000047","63",,"Diploma","Widowed",,"163413","24","LOAN244555","692068","Home","6.20","20","Rejected","No",
"CUST000048",,,"High School","Married","Full-Time","206182","4","LOAN474733","68318","Vehicle","9.92","3","Rejected","No","498"
"CUST000049","62","Other","Associate Degree","Married","Part-Time","231248","29","LOAN881694","37070","Personal","9.44","7","Approved","No","345"
"CUST000050",,"Other",,"Divorced","Part-Time","144164","37","LOAN792171","47159","Education","7.19","15","Approved","No","653"
"CUST000051","32","Male","Bachelor's Degree","Divorced","Self-Employed","249631","26","LOAN286256","83990","Education","8.56","5","Approved","No","621"
"CUST000052","57","Other","Bachelor's Degree","Divorced","Contract",,"26","LOAN294505","37135","Education","7.16","10","Approved","No","643"
"CUST000053","22","Male","Bachelor's Degree","Single",,"155118","5","LOAN291485","74197","Vehicle","5.97","5","Rejected","No","646"
"CUST000054","44","Male","High School","Single","Contract","83914","29","LOAN342342","30914","Personal","12.34","2","Approved","No","623"
"CUST000055","37","Other","PhD","Divorced","Full-Time","137431","29","LOAN579285","50675","Education","5.78","20","Rejected","No","330"
"CUST000056","49","Female","Master's Degree","Single","Contract","133363","18","LOAN412767","489018","Home","5.25","20","Rejected","No","339"
"CUST000057","45","Other",,"Married","Contract","65945","19","LOAN129986","10844","Education","5.84","5","Rejected","No","538"
"CUST000058",,"Other",,"Married","Full-Time","126188","23","LOAN079952","35157","Personal","13.63","5","Approved","No","602"
"CUST000059","43","Female","Master's Degree","Single","Full-Time","248654","30","LOAN966044","48960","Personal","15.85","1","Approved","No","413"
"CUST000060","27","Other","Master's Degree","Divorced","Part-Time","141744","39","LOAN319135","21669","Personal","9.06","1","Approved","No","822"
"CUST000061",,"Male","PhD","Married","Full-Time","223481","3","LOAN481770","567163","Home","6.66","20","Approved","No","380"
"CUST000062","29","Other","Master's Degree","Single","Contract","219588","2","LOAN330062","92151","Education","5.84","20","Rejected","No","650"
"CUST000063","52","Other",,,"Contract","144180","13","LOAN784651","30519","Education","7.52","15","Rejected","No","692"
"CUST000064","23","Female",,"Single","Unemployed","170408","24","LOAN861522","28833","Vehicle","6.23","3","Approved","Yes","418"
"CUST000065","52","Female","Associate Degree","Single",,"38019",,"LOAN284595","11806","Personal","10.97","5","Approved","Yes","547"
"CUST000066","64","Male","Master's Degree","Divorced",,"150326","1","LOAN112254","654035","Home","5.50","20","Approved","Yes","365"
"CUST000067","52","Female","Bachelor's Degree","Widowed","Full-Time",,"10","LOAN637834","357066","Home","5.19","15","Approved","Yes","438"
"CUST000068","63","Other","Associate Degree","Widowed","Full-Time","100030","39","LOAN217758","31989","Vehicle","4.00","4","Rejected","No","316"
"CUST000069","57","Other","Associate Degree","Widowed","Self-Employed","45616","36","LOAN217385","19837","Vehicle","7.64","7","Approved","No","630"
"CUST000070","29","Other","PhD","Widowed","Contract","222729","8","LOAN000311","734143","Home","5.90","30","Rejected","No","747"
"CUST000071","54","Female","Bachelor's Degree","Married","Self-Employed","249822","38","LOAN873744","180081","Home","5.42","30","Approved","No","763"
"CUST000072","29","Female","Associate Degree","Divorced",,"53021","5","LOAN582642","55642","Education","7.03","5","Rejected","No","584"
"CUST000073","51","Other","Diploma","Widowed",,"210483","39","LOAN233520","30027","Vehicle","9.92","3","Approved","No","633"
"CUST000074","24","Other","Diploma",,"Contract","43612","21","LOAN386289","33078","Vehicle","6.84","4","Rejected","No","568"
"CUST000075","36","Male",,"Widowed","Self-Employed","160680","10","LOAN501159","41420","Personal","16.21","2","Rejected","No","795"
"CUST000076","55","Female","PhD","Widowed","Part-Time","210423","39","LOAN057094","10994","Personal","11.12","1","Rejected","No","694"
"CUST000077","37",,"Bachelor's Degree","Married","Self-Employed","227073","18","LOAN065851","300026","Home","6.23","20","Rejected","No","732"
"CUST000078","44","Other","High School","Single","Self-Employed","188544","9","LOAN902853","70036","Vehicle","7.18","4","Rejected","No","468"
"CUST000079","41","Male","High School","Widowed","Part-Time","185848","7","LOAN657205","220004","Home","6.40","20","Approved","No","545"
"CUST000080","26","Female","Associate Degree","Single","Full-Time","157115","4","LOAN782509","654475","Home","7.14","30","Rejected","No","380"
"CUST000081","56","Female","PhD","Single","Self-Employed","122712","20","LOAN092882","77111","Vehicle","8.54","7","Approved","No","477"
"CUST000082","55","Other","Master's Degree","Single","Self-Employed","193220",,"LOAN619296","24970","Vehicle","8.59","6","Approved","No",
"CUST000083","70","Other",,"Single","Full-Time","99101","24","LOAN070411","74696","Vehicle","6.28","6","Rejected","No","544"
"CUST000084",,"Male","PhD","Married","Full-Time","33293","40","LOAN078455","42480","Education","8.48","15","Approved","No","824"
"CUST000085","67","Male","PhD","Married",,"105547",,"LOAN849249","20974","Personal","10.59","5","Approved","No",
"CUST000086","52","Male","PhD","Single","Part-Time","142130","13","LOAN936570","62601","Vehicle","9.08","7","Rejected","No","599"
"CUST000087","34","Female","Diploma","Divorced","Self-Employed","20980","37","LOAN946295","25288","Vehicle","4.70","7","Approved","No","725"
"CUST000088","38","Other","Diploma","Widowed","Full-Time","189861","35","LOAN846307","732042","Home","4.39","25","Rejected","No",
"CUST000089",,"Other","Diploma","Single","Unemployed","52406","37","LOAN616106","699866","Home","4.67","30","Approved","No","703"
"CUST000090","37","Other","Master's Degree","Divorced","Contract","154076","1","LOAN717371","44996","Vehicle","5.41","4","Approved","No","330"
"CUST000091","37","Other","High School","Widowed","Self-Employed","125342","35","LOAN517656","448447","Home","7.10","25","Approved","No","819"
"CUST000092","35","Female","Bachelor's Degree","Single","Part-Time","195347","0","LOAN632870","48851","Vehicle","7.58","3","Rejected","No","301"
"CUST000093","63","Other","High School","Married","Self-Employed","24384","31","LOAN474513","789070","Home","6.40","25","Rejected","No","726"
"CUST000094","25","Female","Bachelor's Degree","Divorced","Unemployed","64710","39","LOAN506107","371241","Home","6.30","25","Approved","No","690"
"CUST000095","42","Female","Master's Degree","Married","Self-Employed","155283","9","LOAN332891","418273","Home","3.62","30","Approved","Yes","423"
"CUST000096","26","Male","Bachelor's Degree","Divorced","Contract","174114","30","LOAN408527","66621","Vehicle","4.08","5","Approved","No","583"
"CUST000097","52","Male","High School","Widowed","Part-Time","241453","4","LOAN829036","14367","Personal","10.93","5","Approved","Yes","511"
"CUST000098","36","Male","Associate Degree","Single","Contract","236827","39","LOAN519899","71182","Vehicle","9.10","4","Approved","No","329"
"CUST000099","61","Female","High School","Divorced","Part-Time","29960","4","LOAN424572","68701","Vehicle","4.58","6","Approved","No","491"
"CUST000100","52","Other",,"Widowed","Contract","47828","12","LOAN583087","69060","Education","7.16","20","Rejected","No","802"
"CUST000101","63","Other","Diploma","Divorced","Full-Time","206681","27","LOAN783823","42056","Personal","15.84","5","Rejected","No","687"
"CUST000102","64","Male","Associate Degree","Single","Contract","23612","16","LOAN320407","24121","Education","6.58","15","Approved","No","584"
"CUST000103","25","Other","Master's Degree","Married","Unemployed","172816","15","LOAN935823","6501","Personal","11.40","1","Rejected","No","488"
"CUST000104","22","Female","Bachelor's Degree","Divorced","Part-Time","61123","27","LOAN511836","9264","Personal","17.01","3","Approved","No","412"
"CUST000105","30","Other","Bachelor's Degree","Divorced","Unemployed","108640","26","LOAN179614","44619","Education","7.07","10","Rejected","No","682"
"CUST000106","68","Male","Diploma",,"Contract",,"14","LOAN670028","605546","Home","6.98","20","Approved","No","653"
"CUST000107","48","Other","High School","Widowed",,"114687","24","LOAN166027","72988","Vehicle","5.60","5","Rejected","No","823"
"CUST000108","25","Female","High School","Divorced","Contract","167994","2","LOAN809792","74307","Education","7.22","15","Approved","No","353"
"CUST000109","24","Female","Bachelor's Degree","Divorced","Part-Time",,"2","LOAN669965","78705","Vehicle","8.35","7","Rejected","No","777"
"CUST000110","49","Male","Bachelor's Degree","Married","Contract","96909","32","LOAN057798","44925","Education","6.28","10","Rejected","No","685"
"CUST000111","30","Female",,"Single","Full-Time","64318","31","LOAN156341","73558","Education","7.14","5","Approved","No",
"CUST000112","41","Male","High School","Married","Self-Employed","241144","35","LOAN633434","13672","Personal","14.36","2","Approved","No","331"
"CUST000113","28","Female","Master's Degree","Widowed","Self-Employed","133362","18","LOAN309962","41460","Personal","15.87","5","Approved","No","713"
"CUST000114","52","Other","Diploma","Widowed","Self-Employed","81461","36","LOAN015228","790766","Home","7.45","20","Rejected","No","461"
"CUST000115","35","Other","Associate Degree","Single","Part-Time","161096","30","LOAN071219","66418","Vehicle","5.90","4","Rejected","No","430"
"CUST000116","39","Male","PhD","Divorced",,"195324","25","LOAN155659","19153","Personal","14.87","5","Rejected","No","466"
"CUST000117","41","Female","PhD",,"Contract","204711","0","LOAN280265","68186","Education","6.48","5","Approved","No","623"
"CUST000118","44","Other","Diploma","Single","Unemployed","168141","14","LOAN614443","217462","Home","7.14","30","Approved","No","729"
"CUST000119","60","Other","Master's Degree","Married","Part-Time","235351","38","LOAN091421","23964","Education","6.33","20","Approved","No","561"
"CUST000120","67","Other","Diploma","Single","Full-Time","172937","27","LOAN954639","74527","Vehicle","7.65","7","Rejected","No","438"
"CUST000121","46","Other","Bachelor's Degree","Married","Self-Employed","193439",,"LOAN042100","44313","Personal","14.69","2","Approved","No","300"
"CUST000122","26","Female","Bachelor's Degree","Divorced",,"200588","38","LOAN565664","78300","Vehicle","8.93","3","Approved","No","668"
"CUST000123",,"Other","High School","Single","Contract","128661","23","LOAN675638","15620","Personal","9.29","5","Rejected","No","706"
"CUST000124","42","Male","Master's Degree","Divorced","Part-Time","155688","33","LOAN452582","83719","Education","6.37","15","Rejected","No",
"CUST000125","38","Other","PhD","Single","Part-Time","22948","28","LOAN098574","89055","Education","7.54","10","Approved","No","754"
"CUST000126","56","Other","Associate Degree","Married","Contract","114289","1","LOAN036527","191059","Home","6.95","25","Rejected","No","715"
"CUST000127","57",,"PhD","Widowed","Part-Time","104516","39","LOAN398242","599006","Home","7.37","15","Rejected","No","568"
"CUST000128","58","Other","Bachelor's Degree","Widowed","Part-Time","243773","32","LOAN989374","51819","Education","7.04","20","Approved","No","678"
"CUST000129","24","Male",,"Single","Full-Time","178006","4","LOAN323437","256886","Home","4.93","25","Rejected","No",
"CUST000130","54","Male","Master's Degree","Widowed","Part-Time","218091","34","LOAN084149","716091","Home","4.93","15","Approved","No","419"
"CUST000131","46",,"Associate Degree",,"Part-Time","175470","38","LOAN915944","11295","Personal","11.23","3","Approved","No","554"
"CUST000132","55","Female","Bachelor's Degree","Married",,"202640","8","LOAN119540","32442","Personal","15.03","1","Approved","No","465"
"CUST000133",,"Other","High School","Widowed","Self-Employed","130417","12","LOAN683476","79919","Vehicle","7.75","5","Rejected","No","827"
"CUST000134","48","Female","Bachelor's Degree","Married","Unemployed","217382","6","LOAN832379","343685","Home","5.19","15","Rejected","No","473"
"CUST000135","66","Female","Associate Degree","Single","Contract","114710",,"LOAN859801","10704","Personal","9.19","1","Rejected","No","542"
"CUST000136","67",,"High School","Widowed","Contract","239003","37","LOAN213380","34021","Personal","15.22","3","Rejected","No","449"
"CUST000137",,"Female","PhD","Divorced",,"152127",,"LOAN512838","49682","Personal","14.70","1","Approved","No","681"
"CUST000138","67","Female","Associate Degree","Divorced","Self-Employed","232357","16","LOAN089178","50759","Vehicle","6.26","3","Approved","No","809"
"CUST000139",,"Male","Master's Degree","Single","Part-Time","105718","6","LOAN320304","768390","Home","5.31","20","Rejected","No","564"
"CUST000140","44","Other","Diploma","Widowed","Part-Time","83010","12","LOAN802892","29587","Personal","17.65","3","Approved","No","750"
"CUST000141","41","Female","Associate Degree","Single","Part-Time","128319","37","LOAN499521","72774","Vehicle","7.27","6","Approved","No","810"
"CUST000142","42","Female","High School","Married","Full-Time",,"5","LOAN877466","313716","Home","3.64","25","Approved","No","752"
"CUST000143","64","Male","Bachelor's Degree","Married","Part-Time",,,"LOAN721118","40430","Personal","14.31","7","Approved","No","724"
"CUST000144","30","Other","Bachelor's Degree","Single","Contract","213593","26","LOAN183609","22969","Personal","9.24","3","Approved","No","702"
"CUST000145","65","Female","Associate Degree","Divorced","Full-Time","71279","22","LOAN146704","37696","Personal","9.51","3","Approved","Yes","317"
"CUST000146","44","Other","High School","Married","Unemployed","108649","32","LOAN316660","47766","Personal","9.15","1","Rejected","No",
"CUST000147","48","Female","Diploma","Divorced","Self-Employed","218053","12","LOAN916734","15712","Personal","17.89","2","Rejected","No","696"
"CUST000148","56","Male","PhD","Married","Full-Time","228626","18","LOAN129511","39674","Personal","11.33","5","Approved","Yes","443"
"CUST000149","34","Other","PhD","Married","Full-Time","46325","7","LOAN554874","63163","Vehicle","4.48","3","Rejected","No","809"
"CUST000150","38","Other","Diploma","Widowed","Part-Time","151828","15","LOAN615043","489918","Home","6.92","15","Rejected","No","850"
"CUST000151","46","Other","Master's Degree","Single","Contract","70556","15","LOAN418162","51497","Vehicle","9.32","5","Rejected","No","327"
"CUST000152","59","Female","Bachelor's Degree","Married","Full-Time","239645","1","LOAN675598","68341","Vehicle","8.12","3","Rejected","No",
"CUST000153","61","Other","Bachelor's Degree","Single","Unemployed","110591","7","LOAN736235","10082","Education","7.00","15","Rejected","No",
"CUST000154","34",,"Master's Degree","Married","Contract","54058","13","LOAN064774","40538","Education","5.33","20","Rejected","No","344"
"CUST000155","27","Other","Diploma","Married",,"60828",,"LOAN847707","14363","Personal","15.12","2","Rejected","No","826"
"CUST000156","33","Female","Bachelor's Degree","Divorced","Full-Time","234605","2","LOAN224630","70564","Vehicle","5.40","3","Rejected","No","699"
"CUST000157",,"Other","Master's Degree","Divorced","Unemployed","88276","38","LOAN646087","32194","Personal","12.66","3","Approved","No","591"
"CUST000158","22","Female","Master's Degree","Widowed","Full-Time","225072","25","LOAN386422","8455","Personal","8.08","2","Approved","No","655"
"CUST000159","34","Female","PhD","Widowed","Full-Time","195033","20","LOAN268618","576851","Home","7.50","15","Rejected","No","811"
"CUST000160","31","Female","Bachelor's Degree","Married","Self-Employed","22755","34","LOAN665513","261818","Home","3.68","15","Approved","No","824"
"CUST000161","42","Female",,"Widowed","Self-Employed","110655","25","LOAN925695","18379","Vehicle","5.29","4","Approved","Yes","370"
"CUST000162","48","Other","Associate Degree","Widowed","Contract","151347","4","LOAN078302","47284","Personal","15.75","3","Rejected","No","566"
"CUST000163","46","Male","Diploma",,"Self-Employed","206041","27","LOAN626125","32871","Personal","16.16","5","Approved","No","772"
"CUST000164",,"Male","High School","Married","Unemployed","146101","21","LOAN571751","70928","Vehicle","9.32","3","Approved","Yes","432"
"CUST000165","35","Female","High School","Divorced","Unemployed","36552","30","LOAN209303","20690","Education","8.60","15","Rejected","No","708"
"CUST000166","24","Female","High School","Divorced","Contract","217971","29","LOAN693839","36549","Vehicle","6.88","6","Approved","Yes","745"
"CUST000167","51","Male","Master's Degree","Widowed","Self-Employed","33335","29","LOAN790487","9055","Personal","13.05","7","Approved","No","692"
"CUST000168","59","Other","Bachelor's Degree","Married","Full-Time","213338","34","LOAN400578","25143","Personal","15.43","7","Rejected","No","360"
"CUST000169","66","Female","High School","Widowed","Unemployed",,"30","LOAN293479","34080","Vehicle","8.24","6","Approved","No","670"
"CUST000170","45","Other","Master's Degree","Married","Self-Employed","107562","27","LOAN270681","17686","Vehicle","4.78","4","Rejected","No","368"
"CUST000171","24","Male","High School","Divorced","Unemployed","192245","2","LOAN821736","234680","Home","7.33","15","Rejected","No","762"
"CUST000172","61","Male","High School","Single","Unemployed","45414","12","LOAN416125","67939","Vehicle","7.08","4","Rejected","No","693"
"CUST000173","46","Female","PhD","Single","Unemployed","107960","2","LOAN563853","38536","Personal","17.45","2","Approved","No","667"
"CUST000174","42","Female","Diploma","Single","Contract","90047","31","LOAN777075","151479","Home","3.64","30","Approved","No","610"
"CUST000175","30","Other","PhD","Widowed","Unemployed","192247",,"LOAN432692","16973","Vehicle","4.64","7","Approved","No","452"
"CUST000176","43","Male","Diploma","Married","Part-Time","42935","25","LOAN624974","27374","Personal","11.90","5","Approved","No","799"
"CUST000177","56","Other","Master's Degree","Widowed","Part-Time","26410","6","LOAN912938","19145","Personal","11.97","3","Approved","No","677"
"CUST000178","50","Other","Bachelor's Degree","Married","Part-Time","101558","10","LOAN810740","36833","Education","5.52","5","Rejected","No","820"
"CUST000179","31","Other","Master's Degree","Widowed","Self-Employed","57162",,"LOAN094957","582181","Home","7.08","30","Rejected","No","508"
"CUST000180",,"Female","PhD","Divorced","Contract","48967","28","LOAN325919","18377","Personal","17.52","3","Rejected","No","518"
"CUST000181","28",,"PhD","Single","Self-Employed","108111","13","LOAN748110","34598","Personal","16.56","1","Approved","No","686"
"CUST000182","25","Male","Master's Degree","Divorced","Part-Time","20926","8","LOAN689978","342014","Home","5.81","25","Rejected","No","667"
"CUST000183","70","Male",,"Widowed","Unemployed","46919","35","LOAN778055","32214","Personal","9.43","7","Rejected","No","698"
"CUST000184","58",,"Bachelor's Degree","Divorced","Part-Time","43913",,"LOAN556528","76767","Vehicle","4.65","6","Approved","No","777"
"CUST000185","45",,"Diploma","Married",,"158875","30","LOAN223090","56092","Education","5.96","15","Rejected","No","716"
"CUST000186","63",,"Diploma","Widowed","Self-Employed","194115","40","LOAN365437","63340","Education","5.59","20","Approved","No","643"
"CUST000187",,"Other","Bachelor's Degree","Single","Part-Time","36697","21","LOAN942614","792395","Home","4.79","20","Rejected","No","792"
"CUST000188","61","Male","Master's Degree","Divorced","Part-Time",,"5","LOAN694258","60392","Vehicle","5.52","5","Rejected","No",
"CUST000189","44","Female","Associate Degree",,"Part-Time","152717","26","LOAN039292","13698","Personal","9.89","5","Rejected","No","406"
"CUST000190","70","Other","High School","Widowed","Full-Time","188014","27","LOAN235371","39637","Vehicle","5.75","6","Approved","No","506"
"CUST000191","33","Other","PhD","Widowed",,"179488","25","LOAN963276","13699","Personal","10.79","5","Approved","No","641"
"CUST000192","58","Male",,"Married","Contract","189002","40","LOAN450559","570446","Home","4.43","15","Approved","Yes","416"
"CUST000193","59","Other","High School","Widowed","Unemployed","241114","5","LOAN917314","41029","Vehicle","7.28","7","Rejected","No","337"
"CUST000194","52","Other","Diploma","Divorced","Self-Employed","225411","14","LOAN170924","10831","Personal","9.57","3","Approved","No","713"
"CUST000195","63","Female","Master's Degree","Single","Self-Employed","228789",,"LOAN072697","390445","Home","5.20","20","Rejected","No","622"
"CUST000196","35","Other","Master's Degree","Divorced","Part-Time","114718","15","LOAN140227","54089","Vehicle","4.50","5","Rejected","No","681"
"CUST000197","32","Other","Bachelor's Degree","Married","Full-Time","72288","7","LOAN892253","46410","Vehicle","9.85","5","Rejected","No","325"
"CUST000198","66","Male","Diploma","Widowed","Part-Time","249779","38","LOAN393722","46214","Education","8.11","10","Rejected","No","637"
"CUST000199","26","Female",,"Divorced","Self-Employed","246623","25","LOAN251422","57947","Vehicle","6.53","5","Rejected","No","524"
"CUST000200","51","Male","PhD","Divorced",,"34101","35","LOAN572833","304895","Home","7.24","30","Rejected","No","702"
"CUST000201","34","Male","PhD","Married","Unemployed","184607","4","LOAN407103","303622","Home","3.95","15","Rejected","No","777"
"CUST000202","70","Male","Master's Degree",,"Self-Employed","129173","0","LOAN931656","726006","Home","3.69","30","Approved","No","601"
"CUST000203","55","Other","PhD","Widowed","Full-Time","63723","27","LOAN089915","98823","Education","5.89","20","Approved","No","570"
"CUST000204",,"Female","High School","Single","Self-Employed","75472","19","LOAN490376","475482","Home","5.68","25","Approved","No","464"
"CUST000205","53","Female","Bachelor's Degree","Single","Contract",,,"LOAN127356","49763","Personal","17.69","7","Approved","No","617"
"CUST000206","26",,"Master's Degree","Married","Self-Employed","91967","15","LOAN148119","27577","Education","8.36","10","Rejected","No","492"
"CUST000207","56","Other","Master's Degree",,"Part-Time",,"19","LOAN507201","62477","Vehicle","8.32","4","Approved","No","560"
"CUST000208","64","Male","PhD","Married","Part-Time","180581","9","LOAN380926","69867","Vehicle","5.98","7","Rejected","No","790"
"CUST000209","24",,"Bachelor's Degree","Single","Contract","82924","35","LOAN410499","456100","Home","6.61","25","Rejected","No","633"
"CUST000210","64","Female","Diploma","Married","Contract","60998","35","LOAN645195","39643","Education","7.76","10","Approved","No","821"
"CUST000211",,"Other","PhD","Single","Full-Time","127708","32","LOAN234170","16585","Vehicle","4.51","4","Rejected","No","838"
"CUST000212","27","Male","Associate Degree","Widowed","Contract","152473","8","LOAN736754","33289","Personal","15.06","3","Approved","No",
"CUST000213","66","Male","Bachelor's Degree","Married","Contract","206451","15","LOAN966024","32114","Personal","14.50","3","Rejected","No","641"
"CUST000214",,"Female","High School","Widowed","Contract","201737","21","LOAN537581","15231","Personal","8.16","5","Approved","Yes","754"
"CUST000215","48","Other","PhD","Married","Full-Time","215783","12","LOAN160582","15367","Personal","14.00","1","Rejected","No",
"CUST000216","37","Male","Diploma","Widowed","Full-Time","239729","5","LOAN460659","248195","Home","6.41","25","Rejected","No","756"
"CUST000217","62","Other",,"Divorced","Unemployed","218319","40","LOAN934778","93480","Education","7.74","20","Approved","No","412"
"CUST000218","58","Male","Associate Degree",,"Contract","89027",,"LOAN241678","30596","Personal","13.88","7","Approved","Yes","382"
"CUST000219","60","Other",,"Single","Contract","170240","11","LOAN148023","37534","Education","5.82","10","Rejected","No",
"CUST000220","22","Male","Diploma","Single","Part-Time","149260","40","LOAN976737","74785","Education","7.55","5","Approved","No","533"
"CUST000221",,"Male","High School","Divorced",,"158488","35","LOAN992837","603371","Home","7.47","20","Approved","Yes","376"
"CUST000222","52","Female","Associate Degree","Single","Part-Time","168745","40","LOAN540174","5682","Personal","17.92","7","Rejected","No","663"
"CUST000223","65","Male","Diploma","Divorced",,"146765","39","LOAN079125","126218","Home","4.86","20","Approved","No","845"
"CUST000224","35","Female","Bachelor's Degree","Divorced","Full-Time","182212","35","LOAN308536","48113","Education","5.27","15","Rejected","No","443"
